[2026-07-21 21:28:54,840] 16 root -INFO-Initiate the data ingestion
[2026-07-21 21:29:01,252] 63 root -INFO-Performed train test split on the dataframe
[2026-07-21 21:29:01,253] 65 root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-21 21:29:01,253] 73 root -INFO-Exporting train and test file path.
[2026-07-21 21:29:01,328] 81 root -INFO-Exported train and test file path.
[2026-07-21 21:29:01,329] 18 root -INFO-Data Initiation Completed
[2026-07-21 21:29:01,341] 24 root -INFO-Initiate the data Validation
[2026-07-21 21:29:01,383] 39 root -INFO-Required number of columns:31
[2026-07-21 21:29:01,383] 40 root -INFO-Data frame has columns:31
[2026-07-21 21:29:01,387] 52 root -INFO-Numerical columns: 31)
[2026-07-21 21:29:01,388] 39 root -INFO-Required number of columns:31
[2026-07-21 21:29:01,388] 40 root -INFO-Data frame has columns:31
[2026-07-21 21:29:01,388] 52 root -INFO-Numerical columns: 31)
[2026-07-21 21:29:01,624] 26 root -INFO-data Validation Completed
